name;shortname;unit;group;type;category;valuetype;default;min;max;Dislich2018;Model2018
reproducible?;NA;NA;parameter;global;setup;boolean;FALSE;NA;NA;NA;TRUE
rnd-seed;NA;NA;parameter;global;setup;numeric;3478436;NA;NA;NA;100
which-map;NA;NA;parameter;global;setup;string;"""hundred-farmers3""";NA;NA;NA;"""hundred-farmers3"""
land-use-change-decision;NA;NA;parameter;global;setup;string;"""only-one-field-per-year""";NA;NA;"""only-one-field-per-year""";"""only-one-field-per-year"""
sim-time;NA;years;parameter;global;setup;numeric;61;NA;NA;50;50
price_scenario;NA;NA;parameter;global;prices;string;"""constant_prices""";NA;NA;NA;"""constant_prices"""
price-fluctuation-percent;NA;percent;parameter;global;prices;numeric;10;NA;NA;NA;10
historical_smoothing;NA;-;parameter;global;prices;numeric;0;NA;NA;NA;NA
LUT-0-folder;NA;NA;parameter;global;prices;string;"""oilpalm""";NA;NA;NA;NA
LUT-0-price;p_o;USD/ton;parameter;global;prices;numeric;90;NA;NA;90;90
LUT-0-price-mu;NA;NA;parameter;global;prices;numeric;1.9;NA;NA;NA;0
LUT-0-price-sd;NA;NA;parameter;global;prices;numeric;10;NA;NA;NA;50
LUT-1-folder;NA;NA;parameter;global;prices;string;"""rubber""";NA;NA;NA;NA
LUT-1-price;p_r;USD/ton;parameter;global;prices;numeric;1100;NA;NA;1100;1100
LUT-1-price-mu;NA;NA;parameter;global;prices;numeric;11;NA;NA;NA;0
LUT-1-price-sd;NA;NA;parameter;global;prices;numeric;100;NA;NA;NA;500
l_mng_price_tinput_management-0;p_TI;USD/kg;parameter;global;costs;numeric;0.5;0.45;0.55;0.5;0.5
l_mng_wages_management-0;w_l;USD/hour;parameter;global;costs;numeric;1.6;1.44;1.76;1.6;1.6
optimal-invest-costs_lut-0;icost_total_o;USD/ha;parameter;global;costs;numeric;"""[600 200 150]""";"""[540 180 135]""";"""[660 220 165]""";"""[600 200 150]""";"""[600 175 175]"""
optimal-invest-costs_lut-1;icost_total_r;USD/ha;parameter;global;costs;numeric;"""[200 70 70 70 70]""";"""[180 63 63 63 63]""";"""[220 77 77 77 77]""";"""[200 70 70 70 70]""";"""[200 70 70 70 70]"""
b1;l_o1;years;parameter;global;costs;numeric;5;4.5;5.5;5;5
b2;l_o2;years;parameter;global;costs;numeric;7;6.3;7.7;7;7
b3;l_o3;years;parameter;global;costs;numeric;25;22.5;27.5;25;25
m1;l_o4;hours/year;parameter;global;costs;numeric;100;90;110;100;100
m2;l_o5;hours/year;parameter;global;costs;numeric;-80;-88;-72;-80;-80
m3;l_o6;hours/year;parameter;global;costs;numeric;-0.8;-0.88;-0.72;-0.8;-0.8
n1;l_o7;hours;parameter;global;costs;numeric;-230;-253;-207;-230;-230
n2;l_o8;hours;parameter;global;costs;numeric;690;621;759;690;690
n3;l_o9;hours;parameter;global;costs;numeric;120;108;132;120;120
plateau_labor;l_o10;hours;parameter;global;costs;numeric;1400;1260;1540;1400;1400
b_labor;l_r1;hours/(ha*year);parameter;global;costs;numeric;700;630;770;700;700
m_lut-0;t_o1;kg/(ha*year);parameter;global;costs;numeric;740;666;814;740;740
m_lut-1;t_r1;kg/(ha*year);parameter;global;costs;numeric;150;135;165;150;150
quadratic_term;p_r1;-;parameter;global;costs;numeric;-0.007;-0.0077;-0.0063;-0.007;-0.007
linear_term;p_r2;tons/ha;parameter;global;costs;numeric;0.3;0.27;0.33;0.3;0.3
constant;p_r3;-;parameter;global;costs;numeric;2.5;2.25;2.75;2.5;2.5
intercept;p_o5;tons/ha;parameter;global;costs;numeric;46;41.4;50.6;46;46
slope;p_o4;-;parameter;global;costs;numeric;-0.6;-0.66;-0.54;-0.6;-0.6
plateau_yield;p_o3;tons/ha;parameter;global;costs;numeric;40;36;44;40;40
expo;p_o2;-;parameter;global;costs;numeric;0.7;0.63;0.77;0.7;0.7
scal;p_o1;-;parameter;global;costs;numeric;0.3;0.27;0.33;0.3;0.3
lut0_carbon_factor;NA;NA;parameter;global;carbon_old;numeric;18.95;17.055;20.845;18.95;18.95
lut0_carbon_exp;NA;NA;parameter;global;carbon_old;numeric;0.5;0.45;0.55;0.5;0.5
lut0_carbon_content;NA;NA;parameter;global;carbon_old;numeric;0.413;0.3717;0.4543;0.413;0.413
lut0_root_shoot_ratio;NA;NA;parameter;global;carbon_old;numeric;1.35;1.215;1.485;1.35;1.35
lut1_carbon_factor;NA;NA;parameter;global;carbon_old;numeric;58.609;52.7481;64.4699;58.609;58.609
lut1_carbon_exp1;NA;NA;parameter;global;carbon_old;numeric;-13.696;-15.0656;-12.3264;-13.696;-13.696
lut1_carbon_exp2;NA;NA;parameter;global;carbon_old;numeric;-0.264;-0.2904;-0.2376;-0.264;-0.264
consumption-on?;NA;NA;parameter;global;consumption;boolean;TRUE;NA;NA;NA;NA
consumption_base;C_-;USD;parameter;global;consumption;numeric;1000;900;1100;1000;1000
consumption_frac_cash;C_pi;-;parameter;global;consumption;numeric;0.1;0.09;0.11;0.1;0.1
consumption_frac_wealth;C_W;-;parameter;global;consumption;numeric;0.05;0.045;0.055;0.05;0.05
heterogeneous-hhs?;NA;NA;parameter;global;inefficiency;boolean;TRUE;NA;NA;NA;FALSE
learning-spillover?;NA;NA;parameter;global;inefficiency;boolean;TRUE;NA;NA;NA;FALSE
setup-hh-network;NA;NA;parameter;global;inefficiency;string;"""hh-nw-n-nearest-neighbors""";NA;NA;"""hh-nw-kernel-distance""";"""hh-nw-kernel-distance"""
hh-nw-param1;NW_1;patches;parameter;global;inefficiency;numeric;10;9;11;20;10
hh-nw-param2;NA;NA;parameter;global;inefficiency;numeric;50;NA;NA;50;50
spillover-share;NW_2;-;parameter;global;inefficiency;numeric;1;0.9;NA;NA;1
l_inefficiency_alpha_lut-0;IN_o1;-;parameter;global;inefficiency;numeric;3.168;2.8512;3.4848;3.168;3.168
